kappa,FCR,rg,Prediction
0.178087488,0.91,27.90784121,Alta
0.157651186,0.84,33.21243286,Alta
0.179037169,0.84,31.63014889,Alta
0.167989723,0.94,32.18397141,Alta
0.157056719,0.7,30.40595531,Alta
0.183652073,0.8,27.46341228,Alta
0.172987252,0.67,28.64086151,Alta
0.185370795,0.78,30.72535515,Alta
0.159189321,0.82,28.43598366,Alta
0.177249253,0.27,30.61525345,Alta
0.185647234,0.22,27.26622581,Alta
0.161996424,0.24,28.05222034,Alta
0.194024041,0.56,33.24349642,Alta
0.188851364,0.34,31.20315552,Alta
0.194905244,0.64,26.78259373,Alta
0.166137099,0.45,30.03911972,Alta
0.187718235,0.5,32.32388973,Alta
0.193844855,0.79,30.14495134,Alta
0.190309711,0.73,30.66421032,Alta
0.167576075,0.67,29.81323242,Alta
0.199367411,0.75,29.00128603,Alta
0.164046332,0.76,28.33916187,Alta
0.190456599,0.22,27.90095806,Alta
0.187184021,0.6,30.15439034,Alta
0.21225325,0.69,28.19626093,Alta
0.214281872,0.46,30.08359909,Alta
0.186329551,0.52,28.99199963,Alta
0.179978259,0.85,28.25325489,Alta
0.203009546,1,26.76790714,Baja
0.187927432,0.57,31.17938757,Alta
0.194206394,0.92,26.14967346,Baja
0.197829261,0.64,25.80514669,Alta
0.198812887,0.31,30.23521423,Alta
0.190602973,0.68,31.05310678,Alta
0.18868272,0.87,29.39784765,Alta
0.21285256,0.42,31.46450758,Alta
0.216020755,0.62,27.03613043,Alta
0.234179504,0.49,28.77855062,Alta
0.198576942,0.57,32.32036829,Alta
0.20594126,0.67,28.12514067,Alta
0.210803561,0.3,27.34409809,Alta
0.227940321,0.39,30.79837084,Alta
0.218540378,0.82,30.723176,Alta
0.203397647,0.9,27.9029274,Alta
0.190292902,0.52,28.62659931,Alta
0.2085182,0.45,29.18067932,Alta
0.220771886,0.92,26.01887703,Baja
0.209353976,0.78,30.39215088,Alta
0.198647842,0.5,30.36956787,Alta
0.209623918,0.49,27.50419617,Alta
0.225029163,0.44,30.42098522,Alta
0.21395839,0.64,31.90842628,Alta
0.21599628,0.5,28.66569281,Alta
0.215015322,0.59,29.14428234,Alta
0.203162976,0.99,30.88750839,Baja
0.240594439,0.55,29.35924292,Alta
0.231345572,0.73,29.84375477,Alta
0.2191502,0.29,29.42991495,Alta
0.209720962,1,32.94676781,Baja
0.213720277,0.7,32.03224182,Alta
0.212028146,0.62,27.82405376,Alta
0.2308456,0.46,27.69735336,Alta
0.218725808,0.74,30.76715469,Alta
0.212105647,0.21,29.33346272,Alta
0.22330945,0.43,31.98358536,Alta
0.240634158,0.96,23.82588387,Baja
0.23887293,0.86,26.72627926,Alta
0.219077714,0.94,22.35939503,Baja
0.225947335,0.43,28.12833071,Alta
0.219051793,0.97,23.23079348,Baja
0.225271568,0.67,30.12554646,Alta
0.236508563,0.73,28.82389545,Alta
0.224852994,0.35,30.58530092,Alta
0.246885702,0.45,26.90356493,Alta
0.227973372,0.42,29.87061501,Alta
0.239362329,0.69,25.88835001,Alta
0.251512818,0.37,30.11250019,Alta
0.227866068,0.89,29.13585424,Alta
0.240462467,0.2,28.8180685,Alta
0.232927762,0.84,26.67948723,Alta
0.27693373,0.26,28.05276394,Alta
0.234549113,0.73,28.19654226,Alta
0.249968968,0.54,32.13947773,Alta
0.251682311,0.99,25.3826189,Baja
0.254259139,0.25,27.45059967,Alta
0.261435434,0.65,30.83879471,Alta
0.258010633,0.47,31.61966801,Alta
0.26423984,0.46,26.40835285,Alta
0.250279024,0.3,29.27235603,Alta
0.248632438,0.37,27.74880409,Alta
0.269231424,0.42,31.93960667,Alta
0.251834549,0.4,32.61473179,Alta
0.258139245,0.89,29.35396671,Alta
0.247232959,0.94,25.81827164,Baja
0.277190596,0.91,27.69006729,Baja
0.259487212,0.98,29.91688251,Baja
0.246072963,0.34,27.54436493,Alta
0.272802129,0.49,29.98625278,Alta
0.251225494,0.33,31.70444965,Alta
0.273515746,0.41,27.8401041,Alta
0.254551545,0.32,27.99948692,Alta
0.250814803,0.62,31.67367458,Alta
0.286257654,0.76,23.90466928,Alta
0.257012293,0.73,29.28589821,Alta
0.260702625,0.53,30.55022717,Alta
0.272179507,0.86,25.62228441,Alta
0.255581409,0.53,29.60597515,Alta
