Construct,NaCl_0,NaCl_200,NaCl_400,NaCl_600,NaCl_800,NaCl_1000,NaCl_1500
172,0.999999944,1.032012167,1.053916678,1.077490111,1.126486222,1.185174889,1.193937556
173,0.999999889,1.051428333,1.117866,1.176473556,1.274702333,1.329793222,1.330641222
174,0.999999889,1.043081444,1.176977444,1.240540222,1.336711778,1.345760889,1.355592444
175,0.999999978,1.085518889,1.146866556,1.225579556,1.362694556,1.422065333,1.386208778
176,1,0.971553844,0.962284022,0.950777989,0.969050478,0.968909544,0.962349244
177,1.000000078,1.068642,1.184797222,1.312806889,1.435708444,1.579883778,1.707515444
178,0.999999956,0.9750103,0.958946544,0.944933867,0.966806811,0.956186344,0.935684411
179,0.999999989,1.069868333,1.145462111,1.221302556,1.257690222,1.330731333,1.327451556
180,0.999999944,1.016899922,1.147503333,1.397225111,1.619940889,1.707807889,1.795408222
181,0.999999933,1.087175889,1.206623333,1.392900333,1.702436111,1.915243444,1.991108444
182,1.000000067,1.040836056,1.138710222,1.209975667,1.384258,1.402269,1.46746
183,1.000000111,1.080418656,1.144425889,1.212680333,1.338481333,1.465424889,1.447856333
184,1.000000011,1.076087556,1.144934111,1.297703222,1.530617222,1.744832778,1.892047111
185,1.000000044,1.055662033,1.130944556,1.317200889,1.537306,1.748823889,1.891260778
186,1.000000056,1.042025189,1.145791,1.267333111,1.525545889,1.647461667,1.711408889
187,1.000000078,1.043767933,1.190357222,1.388656556,1.513314333,1.560113667,1.566275222
188,1.0000001,1.077076778,1.117144222,1.209877,1.359818222,1.416194556,1.484176111
189,0.9999999,1.067801667,1.143449111,1.324690667,1.524309667,1.752392778,1.807652333
190,1.000000078,1.076299667,1.177664667,1.352320778,1.626722222,1.722068333,1.65407
191,1,1.070653556,1.174377333,1.305717778,1.561432444,1.698544444,1.685508556
192,1.000000111,1.063385333,1.167877778,1.369970778,1.529278444,1.685972222,1.752538222
193,0.999999933,1.079096889,1.189138556,1.401785333,1.668421778,1.867757,1.979530444
194,0.999999867,1.009885978,1.097219889,1.222825,1.360662333,1.438047889,1.363120778
195,0.999999978,0.996839844,0.996189144,1.104554211,1.203802444,1.234615667,1.251274556
196,1.000000022,1.0431185,1.108523222,1.203382556,1.284795111,1.379267556,1.430620667
197,1.000000033,1.050587222,1.154243333,1.285247333,1.390913667,1.464504556,1.540741556
198,1.000000056,1.032053556,1.093976556,1.181798556,1.302409111,1.399692667,1.424308556
199,1.000000133,1.050505167,1.162403444,1.296731889,1.510670778,1.657767333,1.766137444
200,1.000000078,1.036277556,1.112377222,1.250889111,1.430033889,1.498054444,1.521940444
201,0.999999967,1.026892,1.134495,1.263771222,1.409513222,1.461182222,1.446354
