Construct,NaCl_0,NaCl_200,NaCl_400,NaCl_600,NaCl_800,NaCl_1000,NaCl_1500
107,0.701720911,0.758355689,0.786073878,0.885779733,1.019457478,1.068832778,1.033982456
108,0.779815867,0.849642678,0.893020133,0.989320167,1.075439478,1.118294333,1.150922444
109,0.778613256,0.802178911,0.865631467,0.966840533,1.086336,1.117132622,1.076719289
110,0.743819611,0.778153511,0.818945422,0.854571944,0.913552033,0.9484841,0.931225178
111,1.079097444,1.125808444,1.174977556,1.238374667,1.356255444,1.393450556,1.392990333
112,1.032142533,1.045021278,1.035840467,1.050766944,1.052095278,1.041652322,1.048873544
113,0.936365689,0.990627689,1.042574311,1.098104111,1.178349333,1.261748889,1.250421
114,0.841871056,0.865597144,0.881005411,0.927772367,1.0102903,1.006031567,0.981176467
115,0.787857556,0.768334367,0.806676656,0.887443789,0.963507222,0.996170678,1.055734767
116,0.750784578,0.815095344,0.887207933,1.021523778,1.192507,1.312986333,1.333601444
117,0.800574289,0.8424795,0.880203867,0.900391267,1.001506689,1.006521756,1.017716844
118,0.692332833,0.762363833,0.8190369,0.911277044,0.981636744,1.035573133,1.046445311
119,0.773525722,0.8405242,0.9171105,1.038997844,1.181590678,1.254703333,1.261459556
120,0.847925411,0.924754756,1.010872678,1.133581778,1.293374556,1.340428111,1.322988889
121,0.753916378,0.786393444,0.876116911,1.016123111,1.119379733,1.155704033,1.123741389
122,0.907662378,0.953637789,1.038895833,1.187002444,1.343115889,1.458399222,1.504507667
123,0.748783967,0.820947,0.904794467,1.006271078,1.129832333,1.223858444,1.264082444
124,0.785953889,0.835847044,0.901335256,0.982013444,1.098888222,1.161131556,1.181796889
125,0.787785489,0.8109606,0.871523144,0.911744422,0.986815911,0.998687644,0.974658133
126,1.100022889,1.163963556,1.234316333,1.344122889,1.465237444,1.525337556,1.520577444
127,0.871309744,0.908182033,0.970643056,1.073213556,1.183906556,1.280661778,1.252229667
128,0.669089911,0.716441378,0.779088556,0.829494233,0.909066733,0.949881922,0.930465378
129,0.727512989,0.773358822,0.810120989,0.886217222,0.940135633,0.991906478,0.974723956
130,0.897267611,0.972015389,1.067952889,1.222682778,1.377875111,1.516122111,1.548321667
131,0.788407667,0.834402044,0.872642544,0.920227911,0.962447989,0.9854186,0.961623067
132,0.904205811,0.926510356,0.983334744,1.077492878,1.146095711,1.185836111,1.155711811
133,0.958634989,1.027125456,1.146441444,1.315826889,1.531334556,1.648758556,1.566797111
134,0.884591811,0.951578411,1.018432144,1.090764222,1.183366667,1.224656111,1.212225889
135,1.017657622,1.081340078,1.135534867,1.214079111,1.344242222,1.406483667,1.326114333
136,0.911318156,0.960542044,1.015714278,1.096623,1.155782111,1.165049,1.142306333
137,0.758415489,0.747317122,0.780859878,0.8411575,0.869817356,0.8991406,0.891332811
138,1.648071667,1.783271889,1.942153889,2.012452667,2.173398333,2.071853444,2.044353111
139,1.459659,1.675419556,1.743008667,1.982354,2.191746556,2.178979778,2.137633
140,0.581076778,0.592240156,0.621603678,0.598466456,0.590015178,0.608957656,0.596243933
141,0.888133122,1.036387022,1.1170116,1.237665222,1.403038778,1.540464667,1.533680667
142,0.612683178,0.615146533,0.661062856,0.667154278,0.698654644,0.701584078,0.710330578
143,1.135755444,1.108133,1.155688556,1.180093889,1.239798111,1.199320778,1.148200178
144,0.943394089,1.107531278,1.341451444,1.443830111,1.563583,1.551098333,1.493152556
145,0.679258389,0.715285367,0.778937644,0.8628356,0.971232522,1.036615333,1.0373453
146,0.788979944,0.803661633,0.830875356,0.844435989,0.854009267,0.857480922,0.8682122
147,0.749477244,0.783271011,0.833507633,0.8368266,0.895193322,0.901074911,0.871234289
148,0.8073969,0.823840467,0.906048167,0.8665784,0.9210643,0.975588889,0.917633533
149,0.753886111,0.761340478,0.780282767,0.797333422,0.843291744,0.873379411,0.884131611
150,0.841932244,0.881217433,0.939256978,1.0186421,1.138001556,1.213302444,1.222837889
151,0.884777478,0.927433533,1.074063556,1.172148889,1.312238444,1.383250444,1.411863444
152,0.6265087,0.653527689,0.6809154,0.735572044,0.762274722,0.7938052,0.821495689
153,0.674206544,0.690760689,0.7268927,0.764390711,0.885562022,0.9003413,0.956975533
154,0.650246689,0.679007844,0.840984533,1.088615333,1.266124222,1.306237444,1.274492889
155,0.640665333,0.683100622,0.748248611,0.851277233,1.001795411,1.079602656,1.068935744
156,0.837848456,0.890688678,0.946314133,1.040436656,1.191438022,1.254279289,1.228386022
157,0.7297763,0.761647867,0.7680281,0.820944978,0.890127833,0.922281256,0.960043511
158,0.619408122,0.6447706,0.676921444,0.697149067,0.7471119,0.767353878,0.744822122
159,0.740080856,0.805328133,0.850620056,0.906026778,1.0112696,1.050136556,1.092205556
160,0.713796911,0.740522589,0.797755189,0.819030133,0.890134367,0.927580278,0.9339504
161,0.743256922,0.8025067,0.852906344,0.913723967,1.029547356,1.115733333,1.125607
162,0.877316267,0.928941356,0.993864956,1.112774833,1.274554111,1.357775778,1.333993444
163,0.968924844,1.044168778,1.224643667,1.621033778,2.382969556,2.939583667,2.716144556
164,0.813111789,0.862100733,0.919722222,1.037211233,1.204879778,1.307823444,1.337587333
165,0.7638923,0.793352144,0.859133989,0.919120644,1.024617833,1.038785089,1.019155667
166,0.658205778,0.699313644,0.729562211,0.770919489,0.851238567,0.863510978,0.913413133
167,1.109651289,1.180255556,1.360227556,1.592885444,1.903900889,1.987819444,1.755455111
168,1.055860911,1.203734333,1.404445222,1.684966222,1.872238222,1.964944556,2.046991889
169,0.9807077,0.960221533,1.038042733,1.091566956,1.141967778,1.188846222,1.203841222
